TCONST;TITLETYPE;PRIMARYTITLE;STARTYEAR;RUNTIMEMINUTES;GENRES;REGION;IDIOMA;TIPOS;ATRIBUTOS;ISORIGINALTITLE;NCONST;CATEGORIA;PERSONAJES;PRIMARYNAME;PRIMARYPROFESSION;TOTAL_PELICULAS;CATEGORIA_AGRUPADA;RATING_PROMEDIO_PELICULAS
tt10559102;movie;Supercell;2023;100;Action,Adventure,Drama;\N;\N;original;\N;1;nm0000285;actor;"[""Zane Rogers""]";Alec Baldwin;actor,producer,soundtrack;72;Actores;62,71428571
tt12311970;movie;A Walking Miracle;2023;\N;Drama;\N;\N;original;\N;1;nm0000286;actor;"[""Paster Paul""]";Stephen Baldwin;actor,producer,director;50;Actores;50,41666667
tt12311970;movie;A Walking Miracle;2023;\N;Drama;\N;\N;original;\N;1;nm0000287;actor;"[""Mark""]";William Baldwin;actor,producer,stunts;36;Actores;54,70967742
tt18376122;movie;Pamela: A Love Story;2023;112;Biography,Documentary;\N;\N;original;\N;1;nm0000097;self;"[""Self""]";Pamela Anderson;actress,producer,director;14;Otras categorias;42,23076923
tt18376122;movie;Pamela: A Love Story;2023;112;Biography,Documentary;\N;\N;original;\N;1;nm0000109;archive_footage;"[""Self""]";Yasmine Bleeth;actress;6;Otras categorias;66
tt8593824;movie;The Old Way;2023;95;Action,Western;\N;\N;original;\N;1;nm0000115;actor;"[""Colton Briggs""]";Nicolas Cage;actor,producer,soundtrack;88;Actores;59,66666667
tt21221240;movie;Bad Behaviour;2023;109;Comedy,Drama;\N;\N;original;\N;1;nm0000124;actress;"[""Lucy""]";Jennifer Connelly;actress;34;Actores;63,96969697
tt6528290;movie;Knights of the Zodiac;2023;\N;Action,Adventure,Drama;\N;\N;original;\N;1;nm0000293;actor;"[""Alman Kido""]";Sean Bean;actor,producer,animation_department;36;Actores;63,82857143
tt11240348;movie;The Georgetown Project;2023;\N;Horror,Thriller;\N;\N;original;\N;1;nm0000128;actor;"[""Anthony Miller""]";Russell Crowe;actor,soundtrack,director;46;Actores;66,20930233
tt11274492;movie;The Out-Laws;2023;\N;Action,Comedy,Crime;\N;\N;original;\N;1;nm0000289;actress;"[""Lilly McDermott""]";Ellen Barkin;actress,producer;25;Actores;59
tt11274492;movie;The Out-Laws;2023;\N;Action,Comedy,Crime;\N;\N;original;\N;1;nm0000112;actor;"[""Billy McDermott""]";Pierce Brosnan;actor,producer,soundtrack;52;Actores;62,40816327
tt13452446;movie;Damsel;2023;\N;Action,Adventure,Fantasy;\N;\N;original;\N;1;nm0000291;actress;"[""Lady Bayford""]";Angela Bassett;actress,producer,director;34;Actores;63,12903226
tt19760052;movie;Le pot-au-feu de Dodin Bouffant;2023;\N;Romance;\N;\N;original;\N;1;nm0000300;actress;\N;Juliette Binoche;actress,art_department,miscellaneous;57;Actores;64,17307692
tt21270966;movie;Scrambled;2023;97;Comedy;\N;\N;original;\N;1;nm0000317;actor;"[""Richard""]";Clancy Brown;actor,soundtrack,producer;23;Actores;63,86363636
tt8373206;movie;About My Father;2023;\N;Comedy;\N;\N;original;\N;1;nm0000326;actress;"[""Tigger""]";Kim Cattrall;actress,producer,soundtrack;24;Actores;55,5
tt15430628;movie;Ride On;2023;\N;Action,Comedy,Drama;\N;\N;original;\N;1;nm0000329;actor;"[""Lao Luo""]";Jackie Chan;producer,actor,stunts;104;Actores;61,88118812
tt21692408;movie;Kung Fu Panda 4;2024;\N;Action,Adventure,Animation;\N;\N;original;\N;1;nm0000329;actor;"[""Monkey""]";Jackie Chan;producer,actor,stunts;104;Actores;61,88118812
tt6879446;movie;Snafu;2023;\N;Action,Thriller;\N;\N;original;\N;1;nm0000329;actor;"[""Luo Feng""]";Jackie Chan;producer,actor,stunts;104;Actores;61,88118812
tt20115096;movie;A Tourist's Guide to Love;2023;94;Adventure,Comedy,Romance;\N;\N;original;\N;1;nm0000337;actress;"[""Amanda Riley""]";Rachael Leigh Cook;actress,producer;26;Actores;55,4
tt18571950;movie;Searching for America: Part II;2024;\N;Documentary;\N;\N;original;\N;1;nm0000338;archive_footage;"[""Self""]";Francis Ford Coppola;producer,director,writer;48;Otras categorias;65,10638298
tt11596192;movie;Searching for America;2024;\N;Documentary;\N;\N;original;\N;1;nm0000093;archive_footage;"[""Self""]";Brad Pitt;producer,actor,soundtrack;53;Otras categorias;69,02083333
tt12584954;movie;Twisters;2024;\N;Action,Adventure;\N;\N;original;\N;1;nm0000341;writer;\N;Michael Crichton;writer,producer,director;25;Escritores;61,33333333
tt15255288;movie;Murder Mystery 2;2023;\N;Action,Comedy,Crime;\N;\N;original;\N;1;nm0000098;actress;"[""Audrey""]";Jennifer Aniston;actress,producer,soundtrack;35;Actores;60,60606061
tt11068094;movie;White Bird: A Wonder Story;2023;122;Biography,Drama,Family;\N;\N;original;\N;1;nm0000096;actress;"[""Vivienne""]";Gillian Anderson;actress,producer,soundtrack;19;Actores;67,21052632
tt12747748;movie;Leave the World Behind;2023;\N;Drama;\N;\N;original;\N;1;nm0000102;actor;\N;Kevin Bacon;actor,producer,soundtrack;56;Actores;64,01851852
tt17009348;movie;DogMan;2023;\N;Drama;\N;\N;original;\N;1;nm0000108;director;\N;Luc Besson;writer,producer,director;62;Directores;62,87096774
tt1462764;movie;Indiana Jones and the Dial of Destiny;2023;\N;Action,Adventure;\N;\N;original;\N;1;nm0000104;actor;"[""Renaldo""]";Antonio Banderas;actor,soundtrack,producer;80;Actores;60,65753425
tt22687790;movie;A Haunting in Venice;2023;\N;Crime,Drama,Mystery;\N;\N;original;\N;1;nm0000110;actor;"[""Hercule Poirot""]";Kenneth Branagh;actor,producer,director;37;Actores;67,51428571
tt15671028;movie;No Hard Feelings;2023;\N;Comedy;\N;\N;original;\N;1;nm0000111;actor;"[""Laird""]";Matthew Broderick;actor,soundtrack,director;40;Actores;62,125
tt14827638;movie;The Retirement Plan;2023;\N;Action,Comedy,Crime;\N;\N;original;\N;1;nm0000115;actor;"[""Matt""]";Nicolas Cage;actor,producer,soundtrack;88;Actores;59,66666667
tt21942866;movie;Dream Scenario;2024;\N;Comedy,Horror;\N;\N;original;\N;1;nm0000115;actor;\N;Nicolas Cage;actor,producer,soundtrack;88;Actores;59,66666667
tt5637536;movie;Avatar 5;2028;\N;Action,Adventure,Drama;\N;\N;original;\N;1;nm0000116;director;\N;James Cameron;writer,producer,director;26;Directores;71,76
tt11358390;movie;Renfield;2023;\N;Comedy,Fantasy,Horror;\N;\N;original;\N;1;nm0000115;actor;"[""Dracula""]";Nicolas Cage;actor,producer,soundtrack;88;Actores;59,66666667
tt1757678;movie;Avatar 3;2024;\N;Action,Adventure,Fantasy;\N;\N;original;\N;1;nm0000116;director;\N;James Cameron;writer,producer,director;26;Directores;71,76
tt20601972;movie;Fairyland;2023;114;Drama;\N;\N;original;\N;1;nm0000133;actress;"[""Munca""]";Geena Davis;actress,producer,soundtrack;20;Actores;64,89473684
tt8373206;movie;About My Father;2023;\N;Comedy;\N;\N;original;\N;1;nm0000134;actor;"[""Salvo Maniscalco""]";Robert De Niro;actor,producer,soundtrack;98;Actores;66,35416667
tt10954600;movie;Ant-Man and the Wasp: Quantumania;2023;124;Action,Adventure,Comedy;\N;\N;original;\N;1;nm0000140;actor;"[""Dr. Hank Pym""]";Michael Douglas;actor,producer,soundtrack;60;Actores;65,57627119
tt7985704;movie;Operation Fortune: Ruse de guerre;2023;114;Action,Comedy,Thriller;\N;\N;original;\N;1;nm0000144;actor;"[""Nathan""]";Cary Elwes;actor,producer,director;37;Actores;58,71428571
tt1462764;movie;Indiana Jones and the Dial of Destiny;2023;\N;Action,Adventure;\N;\N;original;\N;1;nm0000148;actor;"[""Indiana Jones""]";Harrison Ford;actor,writer,producer;49;Actores;69,08
tt22091586;movie;12 Desperate Hours;2023;\N;Drama,Thriller;\N;\N;original;\N;1;nm0000153;director;\N;Gina Gershon;actress,soundtrack,producer;29;Directores;54,40740741
tt11596192;movie;Searching for America;2024;\N;Documentary;\N;\N;original;\N;1;nm0000158;archive_footage;"[""Self""]";Tom Hanks;producer,actor,soundtrack;65;Otras categorias;68,77777778
tt10559102;movie;Supercell;2023;100;Action,Adventure,Drama;\N;\N;original;\N;1;nm0000162;actress;"[""Dr. Quinn Brody""]";Anne Heche;actress,producer,writer;28;Actores;56,36
tt20240424;movie;Frankie Meets Jack;2023;\N;Comedy,Romance;\N;\N;original;\N;1;nm0000162;actress;"[""Katrina""]";Anne Heche;actress,producer,writer;28;Actores;56,36
tt21692408;movie;Kung Fu Panda 4;2024;\N;Action,Adventure,Animation;\N;\N;original;\N;1;nm0000163;actor;"[""Master Shifu""]";Dustin Hoffman;actor,soundtrack,producer;51;Actores;67,26530612
tt1462764;movie;Indiana Jones and the Dial of Destiny;2023;\N;Action,Adventure;\N;\N;original;\N;1;nm0000184;writer;\N;George Lucas;writer,producer,director;32;Escritores;69,6969697
tt11952084;movie;Who Are You People;2023;104;Drama;\N;\N;original;\N;1;nm0000192;actress;"[""Judith""]";Alyssa Milano;actress,producer,soundtrack;14;Actores;54,18181818
tt12573454;movie;Sharper;2023;116;Crime,Drama,Thriller;\N;\N;original;\N;1;nm0000194;producer;\N;Julianne Moore;actress,producer,soundtrack;58;Otras categorias;64,70909091
tt11596192;movie;Searching for America;2024;\N;Documentary;\N;\N;original;\N;1;nm0000197;archive_footage;"[""Self""]";Jack Nicholson;actor,soundtrack,producer;54;Otras categorias;64,33333333
tt10954600;movie;Ant-Man and the Wasp: Quantumania;2023;124;Action,Adventure,Comedy;\N;\N;original;\N;1;nm0000201;actress;"[""Janet Van Dyne""]";Michelle Pfeiffer;actress,soundtrack,producer;46;Actores;64,2
tt15829724;movie;The Locksmith;2023;92;Action,Mystery,Thriller;\N;\N;original;\N;1;nm0000202;actor;"[""Miller Graham""]";Ryan Phillippe;actor,producer,director;27;Actores;60,42857143
tt18787516;movie;Judy Blume Forever;2023;97;Documentary;\N;\N;original;\N;1;nm0000208;self;"[""Self""]";Molly Ringwald;actress,soundtrack,music_department;22;Otras categorias;56,6
tt12747748;movie;Leave the World Behind;2023;\N;Drama;\N;\N;original;\N;1;nm0000210;actress;\N;Julia Roberts;actress,producer,soundtrack;39;Actores;63,78947368
tt24141700;movie;Pretty Baby: Brooke Shields;2023;138;Documentary;\N;\N;original;\N;1;nm0000222;self;"[""Self""]";Brooke Shields;actress,producer,soundtrack;24;Otras categorias;55,33333333
tt18571950;movie;Searching for America: Part II;2024;\N;Documentary;\N;\N;original;\N;1;nm0000229;archive_footage;"[""Self""]";Steven Spielberg;producer,writer,director;50;Otras categorias;71,10416667
tt18571950;movie;Searching for America: Part II;2024;\N;Documentary;\N;\N;original;\N;1;nm0000231;archive_footage;"[""Self""]";Oliver Stone;director,producer,writer;46;Otras categorias;66,58536585
tt18571950;movie;Searching for America: Part II;2024;\N;Documentary;\N;\N;original;\N;1;nm0000234;archive_footage;"[""Self""]";Charlize Theron;producer,actress,soundtrack;38;Otras categorias;65,78378378
tt26198528;movie;Die Hart: The Movie;2023;84;Action,Comedy;\N;\N;original;\N;1;nm0000237;actor;"[""Ron Wilcox""]";John Travolta;actor,soundtrack,producer;54;Actores;58,69230769
tt10559102;movie;Supercell;2023;100;Action,Adventure,Drama;\N;\N;original;\N;1;nm0000240;actor;"[""Roy Cameron""]";Skeet Ulrich;actor,director,producer;12;Actores;57,90909091
tt19864802;movie;Land of Bad;2023;\N;Action,Thriller;\N;\N;original;\N;1;nm0000128;actor;"[""Reaper""]";Russell Crowe;actor,soundtrack,director;46;Actores;66,20930233
tt1695843;movie;Haunted Mansion;2023;\N;Comedy,Drama,Family;\N;\N;original;\N;1;nm0000130;actress;"[""Madame Leota""]";Jamie Lee Curtis;actress,producer,director;37;Actores;60,97058824
tt10474162;movie;Commitment to Life;2023;115;Documentary;\N;\N;original;\N;1;nm0000242;archive_footage;"[""Self""]";Mark Wahlberg;producer,actor,soundtrack;50;Otras categorias;64,76086957
